Date,a,ticket
2017-04-19,-0.4019,GOOGL
2017-04-19,-0.4019,GOOGL
2017-04-17,0.0258,GOOGL
2017-04-17,0.0258,GOOGL
2017-04-17,0.0258,GOOGL
2017-04-13,-0.1027,GOOGL
2017-04-13,0.7269,GOOGL
2017-04-13,-0.1027,GOOGL
2017-04-13,-0.1027,GOOGL
2017-04-10,0.8402,GOOGL
2017-04-10,0.8402,GOOGL
2017-04-07,-0.2263,GOOGL
2017-04-07,-0.5574,GOOGL
2017-04-07,-0.2263,GOOGL
2017-04-07,-0.2263,GOOGL
2017-04-06,-0.5574,GOOGL
2017-04-06,-0.2732,GOOGL
2017-04-05,-0.2732,GOOGL
2017-04-04,-0.7783,GOOGL
2017-04-04,-0.7783,GOOGL
2017-04-04,-0.7783,GOOGL
2017-03-27,0.4767,GOOGL
2017-03-27,0.4767,GOOGL
2017-03-27,0.4767,GOOGL
2017-03-27,0.4767,GOOGL
2017-03-24,-0.296,GOOGL
2017-03-24,-0.8519,GOOGL
2017-03-24,-0.8519,GOOGL
2017-03-24,-0.8519,GOOGL
2017-03-22,0.9201,GOOGL
2017-03-22,0.9201,GOOGL
2017-03-22,0.9201,GOOGL
2017-03-17,0.0258,GOOGL
2017-03-17,-0.4215,GOOGL
2017-03-15,0,GOOGL
2017-03-11,0.0516,GOOGL
2017-03-11,0.0516,GOOGL
2017-03-10,0.0516,GOOGL
2017-03-10,0.3947,GOOGL
2017-03-07,0,GOOGL
2017-03-07,0,GOOGL
2017-03-07,-0.5859,GOOGL
2017-03-06,0.1513,GOOGL
2017-03-06,0.1513,GOOGL
2017-03-06,0.1513,GOOGL
2017-03-01,0.25,GOOGL
2017-03-01,0.25,GOOGL
2017-03-01,0.25,GOOGL
2017-02-28,-0.7783,GOOGL
2017-02-25,0,GOOGL
2017-02-24,0,GOOGL
2017-02-24,0,GOOGL
2017-02-24,0,GOOGL
2017-02-22,0.5106,GOOGL
2017-02-22,0.2023,GOOGL
2017-02-17,-0.743,GOOGL
2017-02-16,0.5574,GOOGL
2017-02-16,0.5574,GOOGL
2017-02-16,0.5574,GOOGL
2017-02-14,0.296,GOOGL
2017-02-14,0.5267,GOOGL
2017-02-10,0.3818,GOOGL
2017-02-03,-0.296,GOOGL
2017-02-02,-0.2057,GOOGL
2017-02-02,0.0736,GOOGL
2017-01-27,0.5267,GOOGL
2017-01-27,0.836,GOOGL
2017-01-26,0,GOOGL
2017-01-26,0.3976,GOOGL
2017-01-26,0.3182,GOOGL
2017-01-10,-0.4588,GOOGL
2017-01-04,-0.2263,GOOGL
2016-11-16,-0.802,GOOGL
2016-11-16,-0.802,GOOGL
2016-11-15,0.765,GOOGL
2016-11-15,0.3182,GOOGL
2016-11-15,0.0258,GOOGL
2016-11-14,0.296,GOOGL
2016-11-14,0.5267,GOOGL
2016-11-14,0.296,GOOGL
2016-11-14,0.5267,GOOGL
2016-11-10,0.296,GOOGL
2016-11-07,0,GOOGL
2016-11-05,0,GOOGL
2016-11-03,-0.7717,GOOGL
2016-10-27,0.5719,GOOGL
2016-10-27,0.0258,GOOGL
2016-10-27,0.0258,GOOGL
2016-10-26,0.25,GOOGL
2016-10-26,0.25,GOOGL
2016-10-20,0.3818,GOOGL
2016-10-20,0.6808,GOOGL
2016-10-20,0.6808,GOOGL
2016-10-11,0.2732,GOOGL
2016-10-11,0.2732,GOOGL
2016-10-11,0.3818,GOOGL
2016-10-10,0.4215,GOOGL
2016-10-10,0.5719,GOOGL
2016-10-06,0.34,GOOGL
2016-10-06,0.296,GOOGL
2016-10-06,0.296,GOOGL
2016-09-28,0,GOOGL
2016-09-27,0,GOOGL
2016-09-27,0.1531,GOOGL
2016-09-27,0.1531,GOOGL
2016-09-26,0.5106,GOOGL
2016-09-15,0.0516,GOOGL
2016-09-14,0.0516,GOOGL
2016-09-12,-0.4767,GOOGL
2016-09-08,-0.6124,GOOGL
2016-09-08,0.765,GOOGL
2016-09-08,0.7096,GOOGL
2016-09-08,0.4404,GOOGL
2016-09-02,0.0258,GOOGL
2016-08-30,0.5423,GOOGL
2016-08-22,0.5267,GOOGL
2016-08-22,0,GOOGL
2016-08-22,0,GOOGL
2016-08-17,-0.5574,GOOGL
2016-08-11,0,GOOGL
2016-08-11,0,GOOGL
2016-08-02,-0.3818,GOOGL
2016-08-02,-0.3818,GOOGL
2016-08-01,-0.1027,GOOGL
2016-07-29,0.6908,GOOGL
2016-07-28,0,GOOGL
2016-07-28,0.5106,GOOGL
2016-07-22,0.0258,GOOGL
2016-07-20,-0.3818,GOOGL
2016-07-20,-0.3818,GOOGL
2016-07-14,0.4215,GOOGL
2016-07-12,-0.4404,GOOGL
2016-07-11,-0.4404,GOOGL
2016-06-29,0,GOOGL
2016-06-20,-0.5859,GOOGL
2016-06-13,0.6249,GOOGL
2016-06-09,0.1027,GOOGL
2016-06-09,0.1027,GOOGL
2016-06-09,0.1027,GOOGL
2016-06-07,0,GOOGL
2016-06-03,0.34,GOOGL
2016-06-03,0.4019,GOOGL
2016-06-03,-0.128,GOOGL
2016-06-03,-0.128,GOOGL
2016-06-01,0,GOOGL
2016-06-01,0,GOOGL
2016-05-31,0,GOOGL
2016-05-31,0,GOOGL
2016-05-27,0.7351,GOOGL
2016-05-26,0.3182,GOOGL
2016-05-25,0.3612,GOOGL
2016-05-24,-0.3818,GOOGL
2016-05-19,0.4767,GOOGL
2016-05-18,0,GOOGL
2016-05-18,0.2023,GOOGL
2016-05-13,0.5267,GOOGL
2016-05-13,0.5267,GOOGL
2016-05-11,-0.3612,GOOGL
2016-05-11,-0.3612,GOOGL
2016-05-05,0,GOOGL
2016-05-03,0,GOOGL
2016-04-28,0,GOOGL
2016-04-28,0.6124,GOOGL
2016-04-27,-0.2732,GOOGL
2016-04-26,-0.3818,GOOGL
2016-04-26,0.4019,GOOGL
2016-04-26,0.2263,GOOGL
2016-04-22,0.128,GOOGL
2016-04-22,-0.7003,GOOGL
2016-04-22,0,GOOGL
2016-04-22,-0.3182,GOOGL
2016-04-22,-0.3182,GOOGL
2016-04-22,-0.3182,GOOGL
2016-04-21,0.4404,GOOGL
2016-04-21,0,GOOGL
2016-04-21,0.5106,GOOGL
2016-04-19,0,GOOGL
2016-04-19,0,GOOGL
2016-04-15,0.4019,GOOGL
2016-04-08,-0.4939,GOOGL
2016-04-07,0.8588,GOOGL
2016-04-07,0,GOOGL
2016-04-07,0.0258,GOOGL
2016-03-29,0,GOOGL
2016-03-29,0,GOOGL
2016-03-18,0.743,GOOGL
2016-03-17,-0.0516,GOOGL
2016-03-17,0,GOOGL
2016-03-17,0,GOOGL
2016-03-15,0,GOOGL
2016-03-14,0.6808,GOOGL
2016-03-10,0.2263,GOOGL
2016-03-07,0.7269,GOOGL
2016-03-04,0.3818,GOOGL
2016-03-04,0.4215,GOOGL
2016-03-04,0,GOOGL
2016-03-03,0,GOOGL
2016-02-19,0.5106,GOOGL
2016-02-12,0,GOOGL
2016-02-11,0.1779,GOOGL
2016-02-11,0.2263,GOOGL
2016-02-11,0.2263,GOOGL
2016-02-11,0,GOOGL
2016-02-10,0.9081,GOOGL
2016-02-10,-0.2263,GOOGL
2016-02-10,0.9081,GOOGL
2016-02-09,-0.1779,GOOGL
2016-02-09,-0.1779,GOOGL
2016-02-08,-0.128,GOOGL
2016-02-08,-0.2732,GOOGL
2016-02-04,0.4404,GOOGL
2016-02-03,-0.0516,GOOGL
2016-02-03,-0.5267,GOOGL
