,Date,a,ticket
0,2017-04-19,-0.4019,GOOGL
1,2017-04-19,-0.4019,GOOGL
2,2017-04-17,0.0258,GOOGL
3,2017-04-17,0.0258,GOOGL
4,2017-04-17,0.0258,GOOGL
5,2017-04-13,-0.1027,GOOGL
6,2017-04-13,0.7269,GOOGL
7,2017-04-13,-0.1027,GOOGL
8,2017-04-13,-0.1027,GOOGL
9,2017-04-10,0.8402,GOOGL
10,2017-04-10,0.8402,GOOGL
11,2017-04-07,-0.2263,GOOGL
12,2017-04-07,-0.5574,GOOGL
13,2017-04-07,-0.2263,GOOGL
14,2017-04-07,-0.2263,GOOGL
15,2017-04-06,-0.5574,GOOGL
16,2017-04-06,-0.2732,GOOGL
17,2017-04-05,-0.2732,GOOGL
18,2017-04-04,-0.7783,GOOGL
19,2017-04-04,-0.7783,GOOGL
20,2017-04-04,-0.7783,GOOGL
21,2017-03-27,0.4767,GOOGL
22,2017-03-27,0.4767,GOOGL
23,2017-03-27,0.4767,GOOGL
24,2017-03-27,0.4767,GOOGL
25,2017-03-24,-0.29600000000000004,GOOGL
26,2017-03-24,-0.8519,GOOGL
27,2017-03-24,-0.8519,GOOGL
28,2017-03-24,-0.8519,GOOGL
29,2017-03-22,0.9201,GOOGL
30,2017-03-22,0.9201,GOOGL
31,2017-03-22,0.9201,GOOGL
32,2017-03-17,0.0258,GOOGL
33,2017-03-17,-0.4215,GOOGL
34,2017-03-15,0.0,GOOGL
35,2017-03-11,0.0516,GOOGL
36,2017-03-11,0.0516,GOOGL
37,2017-03-10,0.0516,GOOGL
38,2017-03-10,0.3947,GOOGL
39,2017-03-07,0.0,GOOGL
40,2017-03-07,0.0,GOOGL
41,2017-03-07,-0.5859,GOOGL
42,2017-03-06,0.1513,GOOGL
43,2017-03-06,0.1513,GOOGL
44,2017-03-06,0.1513,GOOGL
45,2017-03-01,0.25,GOOGL
46,2017-03-01,0.25,GOOGL
47,2017-03-01,0.25,GOOGL
48,2017-02-28,-0.7783,GOOGL
49,2017-02-25,0.0,GOOGL
50,2017-02-24,0.0,GOOGL
51,2017-02-24,0.0,GOOGL
52,2017-02-24,0.0,GOOGL
53,2017-02-22,0.5106,GOOGL
54,2017-02-22,0.2023,GOOGL
55,2017-02-17,-0.743,GOOGL
56,2017-02-16,0.5574,GOOGL
57,2017-02-16,0.5574,GOOGL
58,2017-02-16,0.5574,GOOGL
59,2017-02-14,0.29600000000000004,GOOGL
60,2017-02-14,0.5267,GOOGL
61,2017-02-10,0.3818,GOOGL
62,2017-02-03,-0.29600000000000004,GOOGL
63,2017-02-02,-0.2057,GOOGL
64,2017-02-02,0.0736,GOOGL
65,2017-01-27,0.5267,GOOGL
66,2017-01-27,0.836,GOOGL
67,2017-01-26,0.0,GOOGL
68,2017-01-26,0.3976,GOOGL
69,2017-01-26,0.3182,GOOGL
70,2017-01-10,-0.4588,GOOGL
71,2017-01-04,-0.2263,GOOGL
72,2016-11-16,-0.802,GOOGL
73,2016-11-16,-0.802,GOOGL
74,2016-11-15,0.765,GOOGL
75,2016-11-15,0.3182,GOOGL
76,2016-11-15,0.0258,GOOGL
77,2016-11-14,0.29600000000000004,GOOGL
78,2016-11-14,0.5267,GOOGL
79,2016-11-14,0.29600000000000004,GOOGL
80,2016-11-14,0.5267,GOOGL
81,2016-11-10,0.29600000000000004,GOOGL
82,2016-11-07,0.0,GOOGL
83,2016-11-05,0.0,GOOGL
84,2016-11-03,-0.7717,GOOGL
85,2016-10-27,0.5719,GOOGL
86,2016-10-27,0.0258,GOOGL
87,2016-10-27,0.0258,GOOGL
88,2016-10-26,0.25,GOOGL
89,2016-10-26,0.25,GOOGL
90,2016-10-20,0.3818,GOOGL
91,2016-10-20,0.6808,GOOGL
92,2016-10-20,0.6808,GOOGL
93,2016-10-11,0.2732,GOOGL
94,2016-10-11,0.2732,GOOGL
95,2016-10-11,0.3818,GOOGL
96,2016-10-10,0.4215,GOOGL
97,2016-10-10,0.5719,GOOGL
98,2016-10-06,0.34,GOOGL
99,2016-10-06,0.29600000000000004,GOOGL
100,2016-10-06,0.29600000000000004,GOOGL
101,2016-09-28,0.0,GOOGL
102,2016-09-27,0.0,GOOGL
103,2016-09-27,0.1531,GOOGL
104,2016-09-27,0.1531,GOOGL
105,2016-09-26,0.5106,GOOGL
106,2016-09-15,0.0516,GOOGL
107,2016-09-14,0.0516,GOOGL
108,2016-09-12,-0.4767,GOOGL
109,2016-09-08,-0.6124,GOOGL
110,2016-09-08,0.765,GOOGL
111,2016-09-08,0.7096,GOOGL
112,2016-09-08,0.4404,GOOGL
113,2016-09-02,0.0258,GOOGL
114,2016-08-30,0.5423,GOOGL
115,2016-08-22,0.5267,GOOGL
116,2016-08-22,0.0,GOOGL
117,2016-08-22,0.0,GOOGL
118,2016-08-17,-0.5574,GOOGL
119,2016-08-11,0.0,GOOGL
120,2016-08-11,0.0,GOOGL
121,2016-08-02,-0.3818,GOOGL
122,2016-08-02,-0.3818,GOOGL
123,2016-08-01,-0.1027,GOOGL
